    0.219027255669195842E+00    0.268496285256135138E+03   -0.658081176897856857E+01   -0.433315962686499745E+01   -0.639349002236790298E+01   -0.574715996446320165E+01    0.343725039699523904E+04
    0.218597099001984596E+00    0.260155118518146651E+03   -0.642358859914961400E+01   -0.384928296624931132E+01   -0.459028835098600219E+01   -0.619245430987719025E+01    0.343725280259912461E+04
    0.218430306848077738E+00    0.266688080874647426E+03   -0.591997875782215921E+01   -0.403640371887160487E+01   -0.602511063968208305E+01   -0.547599057389403043E+01    0.343731245002101696E+04
    0.218740818651107671E+00    0.255172446172947730E+03   -0.587208709975855658E+01   -0.400533863744621677E+01   -0.664641246521162543E+01   -0.687282120177358191E+01    0.343731261546314227E+04
    0.218471601839061919E+00    0.266024965019210981E+03   -0.629070932812599981E+01   -0.406114779150778205E+01   -0.511254512721320165E+01   -0.556605605971438244E+01    0.343731443626797136E+04
    0.219045841597019036E+00    0.255695640352775911E+03   -0.629734889019973565E+01   -0.406729427430458390E+01   -0.732001953888591750E+01   -0.566468374608121916E+01    0.343732714120145056E+04
    0.218543044647440815E+00    0.266701894401230902E+03   -0.589118806343180523E+01   -0.400128507267088018E+01   -0.543276597800777772E+01   -0.681023444231406749E+01    0.343732984432241301E+04
    0.218853768406345545E+00    0.250195711412505631E+03   -0.684613013988143759E+01   -0.377890163700909820E+01   -0.746531886845470538E+01   -0.630904082850213221E+01    0.343733816360829360E+04
    0.218851284008249602E+00    0.251622924062603460E+03   -0.674217066351112937E+01   -0.372314995361010670E+01   -0.475009282900987806E+01   -0.663224953020837660E+01    0.343734381813680920E+04
    0.218533680558153809E+00    0.256249264228332436E+03   -0.672054951443268855E+01   -0.385006134323367544E+01   -0.712911457705641105E+01   -0.513910616063767911E+01    0.343734591585580938E+04
    0.218958288813449142E+00    0.256169159129833361E+03   -0.679173485174948155E+01   -0.431652830441409918E+01   -0.668878661610365377E+01   -0.650403330284780701E+01    0.343736135764747587E+04
    0.218914273021874661E+00    0.257693616839422077E+03   -0.661309871365159374E+01   -0.412706428949422399E+01   -0.472740849291722398E+01   -0.694769170520845858E+01    0.343736513891359118E+04
    0.218794454748828110E+00    0.250834421934589841E+03   -0.668500655988703851E+01   -0.399328836707730339E+01   -0.712744070606086666E+01   -0.604161771917458701E+01    0.343739986295188464E+04
    0.219285566181556618E+00    0.255722549037568513E+03   -0.652326669345520571E+01   -0.421729789493166329E+01   -0.629552528840280790E+01   -0.603924281524128759E+01    0.343740979343163963E+04
    0.218280791993441498E+00    0.267086679447398353E+03   -0.604321745787882048E+01   -0.391447574746579896E+01   -0.628892917611135438E+01   -0.581550978013490649E+01    0.343742326241805267E+04
    0.218524318242188209E+00    0.253758873870210948E+03   -0.618246102887140836E+01   -0.367485520089879003E+01   -0.668404488061885615E+01   -0.581520695836344359E+01    0.343742712491645261E+04
    0.218735816810173178E+00    0.254303123261617799E+03   -0.608127956830713856E+01   -0.402528879092208491E+01   -0.659224549764473089E+01   -0.688498029215801743E+01    0.343744654205696224E+04
    0.218313672770047373E+00    0.281153211523307448E+03   -0.664828920121214928E+01   -0.394648908011875310E+01   -0.670775162464811459E+01   -0.608090907350260057E+01    0.343745837594122168E+04
    0.218263463897760024E+00    0.289673457040606706E+03   -0.642475987046174701E+01   -0.413737468811214626E+01   -0.652929982485826699E+01   -0.597410389213795590E+01    0.343746001545287754E+04
