lambda,sigma_inst,sigma_ale_med,sigma_epi_med,sigma_total_med,ratio_ale_inst,ratio_total_inst
160,6.126440736800955e-05,3.0632204e-05,7.2055327e-06,3.1468262e-05,0.49999999799637446,0.5136467220485774
161,6.12686239024586e-05,3.0634314e-05,7.329765e-06,3.1498996e-05,0.5000000267303647,0.5141129939189827
162,6.063864124840865e-05,3.0319321e-05,7.4076906e-06,3.1211137e-05,0.5000000064106812,0.5147070632542953
163,5.979346549071311e-05,2.9896733e-05,7.806376e-06,3.0899093e-05,0.5000000108598991,0.5167637083570418
164,5.926970072450112e-05,2.963485e-05,7.5076646e-06,3.0571056e-05,0.4999999913961045,0.5157956939172915
165,5.899899626618899e-05,2.9499499e-05,7.495946e-06,3.0436979e-05,0.5000000121644087,0.515889771534497
166,5.871263780579744e-05,2.9356319e-05,7.538681e-06,3.030883e-05,0.5000000002720534,0.5162232874172842
167,5.84603819445611e-05,2.923019e-05,7.534878e-06,3.0185733e-05,0.49999998668071094,0.5163451145560274
168,5.839537301829265e-05,2.9197687e-05,7.584089e-06,3.0166593e-05,0.5000000027884322,0.5165921826751507
169,5.835493216070129e-05,2.9177467e-05,7.71321e-06,3.0179765e-05,0.5000000120883938,0.5171758991135427
170,5.7884949108301896e-05,2.8942475e-05,7.4483587e-06,2.988553e-05,0.5000000108586399,0.5162918979691201
171,5.739975639337461e-05,2.8699878e-05,7.8994835e-06,2.9767178e-05,0.5000000032796995,0.5185941468013842
172,5.714077654943728e-05,2.8570388e-05,8.118752e-06,2.9701536e-05,0.49999999811978396,0.5197958028646382
173,5.687896532292478e-05,2.8439483e-05,8.2243e-06,2.9604784e-05,0.5000000020113528,0.5204873824333963
174,5.6498819713109504e-05,2.824941e-05,8.41653e-06,2.9476552e-05,0.4999999900985043,0.5217197889997193
175,5.618930791177458e-05,2.8094653e-05,7.94001e-06,2.9195091e-05,0.4999999886236322,0.5195844558174584
176,5.6028297376459435e-05,2.8014148e-05,7.766623e-06,2.9070827e-05,0.4999999963483668,0.5188597204313765
177,5.576863571496292e-05,2.7884318e-05,8.3216855e-06,2.9099581e-05,0.5000000046168491,0.5217911631587484
178,5.5432539710617656e-05,2.7716269e-05,8.179333e-06,2.8897977e-05,0.49999998384724964,0.5213179370056654
179,5.5180484939745434e-05,2.7590242e-05,8.495991e-06,2.8868726e-05,0.49999999326234384,0.5231691259663399
180,5.491075723683874e-05,2.7455379e-05,8.748602e-06,2.881555e-05,0.49999999940464335,0.524770576661621
181,5.466315307085148e-05,2.7331576e-05,8.471984e-06,2.86145e-05,0.4999999965700371,0.5234696293903578
182,5.454448727990901e-05,2.7272243e-05,8.704501e-06,2.8627672e-05,0.49999998336448537,0.5248499565990578
183,5.441722653325051e-05,2.7208613e-05,8.7633125e-06,2.8585036e-05,0.49999998893049424,0.5252938878000719
184,5.407345993072183e-05,2.7036729e-05,8.7222925e-06,2.8408856e-05,0.49999998361846776,0.5253752300606542
185,5.3587359533318096e-05,2.679368e-05,9.349991e-06,2.8378225e-05,0.49999999228871783,0.5295693782426171
186,5.3220378007873635e-05,2.6610189e-05,9.115054e-06,2.8128035e-05,0.4999999961182593,0.528520023026322
187,5.311361363408686e-05,2.6556807e-05,9.633968e-06,2.8250262e-05,0.5000000018503696,0.5318836447052052
188,5.329545664933242e-05,2.664773e-05,1.0151296e-05,2.8515791e-05,0.5000000145602145,0.535051071763195
189,5.3556745218525005e-05,2.6778373e-05,9.8869405e-06,2.8545277e-05,0.49999999903538683,0.5329912581896784
190,5.343220405944412e-05,2.6716101e-05,9.642867e-06,2.840308e-05,0.4999999858631681,0.5315722950401605
191,5.271229765337182e-05,2.6356149e-05,1.0294727e-05,2.829537e-05,0.49999999830331787,0.5367887753339352
192,5.203909176589718e-05,2.6019547e-05,9.385552e-06,2.7660539e-05,0.5000000131471269,0.5315338493417331
193,5.170718475587454e-05,2.5853593e-05,9.0644335e-06,2.7396574e-05,0.5000000098619325,0.529840764405134
194,5.1612891133755146e-05,2.5806445e-05,1.044726e-05,2.7840939e-05,0.49999998286576425,0.5394183167052414
195,5.165158597701502e-05,2.5825793e-05,1.016491e-05,2.7754224e-05,0.5000000055043446,0.5373353686596551
196,5.158482447861113e-05,2.5792413e-05,1.04285145e-05,2.7820899e-05,0.500000014712963,0.5393233248460064
197,5.121618811852484e-05,2.5608095e-05,1.0354269e-05,2.762219e-05,0.500000014502201,0.5393253938392683
198,5.077039629200544e-05,2.5385198e-05,1.1215219e-05,2.7752285e-05,0.4999999904173694,0.5466233667055515
199,5.0453335170794656e-05,2.5226667e-05,1.0450019e-05,2.730545e-05,0.49999999386768407,0.5412020852674179
200,5.0392168534750874e-05,2.5196085e-05,1.0146162e-05,2.716224e-05,0.5000000067427993,0.5390170762281868
201,5.0254457659391216e-05,2.5127229e-05,9.368072e-06,2.6816757e-05,0.4999999950767011,0.5336194662322308
202,4.9799061813498116e-05,2.4899531e-05,1.1005175e-05,2.7223163e-05,0.5000000044171871,0.5466601532062102
203,4.946902198761517e-05,2.473451e-05,1.0892263e-05,2.7026606e-05,0.4999999918177918,0.5463339544147509
204,4.974919382496743e-05,2.4874596e-05,1.082126e-05,2.7126467e-05,0.4999999901002076,0.545264455907132
205,5.056669258707307e-05,2.5283347e-05,1.0062395e-05,2.721212e-05,0.5000000136904246,0.538143158739633
206,5.082706794711331e-05,2.5413534e-05,9.901313e-06,2.7274233e-05,0.49999999808882445,0.5366084216261661
207,5.0049392527378644e-05,2.5024696e-05,9.582898e-06,2.6796779e-05,0.49999999048718724,0.5354066764490045
208,4.9086242683628134e-05,2.4543122e-05,9.793081e-06,2.6424785e-05,0.5000000130210577,0.5383338226705916
209,4.84926888688824e-05,2.4246345e-05,9.395364e-06,2.600304e-05,0.5000000068132361,0.5362259723024356
210,4.806858224229717e-05,2.403429e-05,1.0027801e-05,2.604235e-05,0.4999999895357468,0.5417748600739974
211,4.794822622375287e-05,2.3974113e-05,1.2513501e-05,2.7043407e-05,0.499999997493814,0.5640126594768231
212,4.79887978489554e-05,2.3994398e-05,1.368391e-05,2.7622102e-05,0.49999998826934366,0.5755947832748212
213,4.8066342105052596e-05,2.4033172e-05,1.2633749e-05,2.715152e-05,0.5000000184565176,0.5648759371891182
214,4.7972234599861775e-05,2.3986117e-05,8.2309125e-06,2.5359055e-05,0.49999998338314583,0.5286194265349915
215,4.771527886018862e-05,2.385764e-05,8.110106e-06,2.5198427e-05,0.5000000006733085,0.5280997631669688
216,4.738828839269529e-05,2.3694145e-05,7.836505e-06,2.495643e-05,0.5000000181543645,0.5266370650160616
217,4.713565587805774e-05,2.3567827e-05,8.003744e-06,2.4889805e-05,0.4999999833986228,0.5280462216282982
218,4.687285442753681e-05,2.3436427e-05,7.883113e-06,2.4726698e-05,0.4999999954389447,0.5275270373768214
219,4.633226042032443e-05,2.316613e-05,7.879258e-06,2.4469417e-05,0.5000000090955589,0.5281291330997367
220,4.5696106365713665e-05,2.2848053e-05,7.609041e-06,2.4081757e-05,0.49999999708229276,0.5269980105942053
